Id,x,y,month,year,season
188,4187,3394,jan,2022,s,
189,4772,3542,jan,2022,s,
190,2230,973,jan,2022,s,
191,131,2323,jan,2022,s,
192,4181,2488,jan,2022,s,
193,4856,2760,jan,2022,s,
194,4292,3414,jan,2022,s,
195,4471,2604,jan,2022,s,
196,4111,7,jan,2022,s,
197,4279,2341,jan,2022,s,
198,4478,2266,jan,2022,s,
199,3401,2864,jan,2022,s,
200,2762,1586,jan,2022,s,
201,2506,3069,jan,2022,s,
202,3571,731,jan,2022,s,
203,4884,2874,jan,2022,s,
204,4268,1737,jan,2022,s,
205,3751,2503,jan,2022,s,
206,2953,1791,jan,2022,s,
207,4012,3559,jan,2022,s,
208,4874,987,jan,2022,s,
209,4303,2188,jan,2022,s,
210,3425,3125,jan,2022,s,
211,629,254,jan,2022,s,
212,713,524,jan,2022,s,
213,4542,3236,jan,2022,s,
214,3382,2386,jan,2022,s,
215,2818,2429,jan,2022,s,
216,3386,2741,jan,2022,s,
217,3666,3271,jan,2022,s,
218,3863,3293,jan,2022,s,
219,4885,3021,jan,2022,s,
220,4360,1625,jan,2022,s,
221,4579,2572,jan,2022,s,
222,2761,3147,jan,2022,s,
223,3745,2500,jan,2022,s,
224,4378,12,jan,2022,s,
225,44,3305,jan,2022,s,
226,4294,3379,jan,2022,s,
227,4682,3505,jan,2022,s,
228,4552,3322,jan,2022,s,
229,4697,1275,jan,2022,s,
230,4519,3367,jan,2022,s,
231,3798,2386,jan,2022,s,
232,3337,2953,jan,2022,s,
233,1681,1216,jan,2022,s,
234,4156,3228,jan,2022,s,
235,4862,2702,jan,2022,s,
236,3615,1668,jan,2022,s,
237,4070,2477,jan,2022,s,
238,3459,2137,jan,2022,s,
239,4040,2448,jan,2022,s,
240,2669,2048,jan,2022,s,
241,4964,2770,jan,2022,s,
242,3423,2465,jan,2022,s,
243,3546,1538,jan,2022,s,
244,3447,2573,jan,2022,s,
245,2938,2425,jan,2022,s,
246,4398,2759,jan,2022,s,
247,3292,3105,jan,2022,s,
248,3605,2143,jan,2022,s,
249,3645,2865,jan,2022,s,
250,3887,1500,jan,2022,s,
251,4258,3180,jan,2022,s,
252,4483,2096,jan,2022,s,
253,4584,3108,jan,2022,s,
254,4698,1442,jan,2022,s,
255,4790,2845,jan,2022,s,
256,4183,3604,jan,2022,s,
257,3409,2431,jan,2022,s,
258,4686,2562,jan,2022,s,
259,2441,760,jan,2022,s,
260,3941,2343,jan,2022,s,
261,3870,2027,jan,2022,s,
262,4074,2027,jan,2022,s,
263,3013,2257,jan,2022,s,
264,4092,3190,jan,2022,s,
265,4575,1820,jan,2022,s,
266,2300,1718,jan,2022,s,
267,3352,3175,jan,2022,s,
268,4142,2094,jan,2022,s,
269,4136,2439,jan,2022,s,
270,4561,2793,jan,2022,s,
271,3521,2620,jan,2022,s,
272,3707,1583,jan,2022,s,
273,4621,2948,jan,2022,s,
274,4521,3759,jan,2022,s,
275,4357,3497,jan,2022,s,
276,4523,3467,jan,2022,s,
277,4481,2689,jan,2022,s,
278,4978,1564,jan,2022,s,
279,3421,2960,jan,2022,s,
280,2835,2266,jan,2022,s,
281,3944,2063,jan,2022,s,
282,3131,950,jan,2022,s,
283,1313,2122,jan,2022,s,
284,4537,1498,jan,2022,s,
285,2356,2602,jan,2022,s,
286,1468,861,jan,2022,s,
287,4409,1893,jan,2022,s,
288,4515,2001,jan,2022,s,
289,4905,2736,jan,2022,s,
290,3836,2462,jan,2022,s,
291,4349,3230,jan,2022,s,
292,4383,1820,jan,2022,s,
293,3493,2345,jan,2022,s,
294,4046,3501,jan,2022,s,
295,4249,2306,jan,2022,s,
296,2236,2378,jan,2022,s,
297,3664,2199,jan,2022,s,
298,4020,2251,jan,2022,s,
299,4785,1279,jan,2022,s,
300,3787,2127,jan,2022,s,
301,4184,2989,jan,2022,s,
302,4813,3280,jan,2022,s,
303,4848,1559,jan,2022,s,
304,2838,2781,jan,2022,s,
305,4121,1759,jan,2022,s,
306,4269,1510,jan,2022,s,
307,1782,849,jan,2022,s,
308,3947,1635,jan,2022,s,
309,4677,2335,jan,2022,s,
310,4800,1388,jan,2022,s,
311,4630,1747,jan,2022,s,
312,3527,1140,jan,2022,s,
313,4005,1805,jan,2022,s,
314,3815,1909,jan,2022,s,
315,4091,2338,jan,2022,s,
316,4904,2334,jan,2022,s,
317,2358,2526,jan,2022,s,
318,1135,823,jan,2022,s,
319,3921,951,jan,2022,s,
320,3686,3194,jan,2022,s,
321,3917,111,jan,2022,s,
322,2735,1032,jan,2022,s,
323,3450,1745,jan,2022,s,
324,2998,1734,jan,2022,s,
325,4363,2158,jan,2022,s,
326,4101,3069,jan,2022,s,
327,4606,1473,jan,2022,s,
328,4522,2649,jan,2022,s,
329,4337,1948,jan,2022,s,
330,4720,2590,jan,2022,s,
331,1186,135,jan,2022,s,
332,1423,1878,jan,2022,s,
333,3307,3369,jan,2022,s,
334,3997,3281,jan,2022,s,
335,3843,2143,jan,2022,s,
336,3834,1605,jan,2022,s,
337,3509,2481,jan,2022,s,
338,1478,1227,jan,2022,s,
