Id,color1,color2,color3,color4,color5
63,[163.28097923 133.08158472 112.72737238],[146.86825563 117.46378994  69.74377947],[49.33721882 43.07788268 37.90810563],[102.51036071  79.83785111  65.65789716],[190.67006274 186.26201589 173.91471351],
64,[ 97.23654009 105.30562213  65.31995654],[138.99339031 140.30404593 104.52703966],[48.96069961 48.85391493 37.79951063],[190.50950039 189.43681857 176.9193024 ],[ 67.72185085 110.39189471 147.49174849],
65,[189.33762311 184.4039352  168.87577033],[37.15602245 35.39849132 37.65241438],[82.95440098 80.41595355 79.50152812],[159.50006697  95.21770575  61.56529164],[143.54843381 138.61805503 128.71236948],
66,[178.77859254 148.5791679  121.06649572],[143.75133481 112.37741143  81.05925796],[92.49899673 75.71740076 54.35449787],[210.99017363 202.90750811 191.89233925],[193.48802915  75.39486468  31.51162387],
67,[116.2518749   76.86872569  71.57045278],[182.02995379 128.54060663  90.95066434],[218.17400487 204.14979691 170.84358245],[42.20689535 34.41792188 20.94225637],[ 21.30342385 114.84705377 166.42943007],
68,[177.45450792 172.02643907 162.57377991],[50.04456809 39.36314099 31.78561049],[127.40328785 104.67611305  70.75110279],[118.00171095  61.28609098  48.52463768],[150.3541431  132.92563434 115.5774017 ],
69,[170.11261475 115.24551466  66.57373253],[118.40285079  83.64716695  50.39698152],[39.96558674 34.83727896 28.43722651],[61.20288243 62.66708374 45.35427962],[199.71718997 189.83477264 177.51547323],
70,[198.58664937 189.63372703 172.89701418],[91.08521063 68.29249198 46.59983959],[139.15453891  94.5501135   72.52259767],[49.73320295 42.26756751 34.43007566],[164.67551197 124.68421306  94.62667051],
71,[ 49.54865848  77.90541155 124.36198272],[184.30406309 180.07076001 165.84689486],[40.98711919 35.3730523  30.76725782],[148.45168348 118.86219156  93.91922937],[105.8903474   72.2784332   50.20811378],
72,[185.169581   177.89159388 156.12676032],[148.35433562 111.37374922  82.63194011],[119.68486924  77.40716065  57.16799502],[51.51727879 45.66759952 39.60008804],[175.49540891 133.9875354  104.75643611],
73,[56.94276706 45.18181637 32.31539981],[97.10072492 78.16845714 53.36104197],[138.78522648 104.34240682  71.01653291],[168.17872648 150.53627282 107.82885953],[186.74557303 177.9492846  167.70661567],
74,[153.278436   125.42064591 106.03409071],[108.70792196  81.4310855   60.75765353],[50.00342593 43.174468   40.33752276],[53.88161942 60.83570989 82.44637365],[189.17421251 184.95095349 170.24841971],
75,[42.53632202 38.32370217 32.65405545],[133.21047166  99.86217004  65.9523985 ],[196.32139942 190.2256748  181.44735287],[99.2868541  67.29678582 50.83597523],[168.03363367 132.61392249 101.34037892],
76,[140.22388262 114.61357766  72.97184394],[200.68254809 190.82730277 169.86251165],[107.40162684  86.74613379  57.57823442],[143.01183659 135.76926329 121.04796126],[51.16039306 48.25636518 38.86117477],
77,[56.19187871 40.63755652 33.79152407],[237.89112043 232.06007979 218.03332416],[185.7715548  150.21926749 110.0477982 ],[100.95125822  73.63953304  61.18793094],[156.41235355 111.26352116  75.18673787],
78,[200.23169282 196.1517816  174.24967861],[56.9410612  63.03763838 43.54816134],[ 69.70641582 120.84855845 134.98374486],[104.63448427 108.51452948  45.34269151],[172.52056858 132.88383696  90.5324767 ],
79,[69.10009878 69.02041488 58.51596971],[193.48344965 155.02731805 100.76480558],[109.39937189 121.10677833 111.10861031],[160.09323064 162.10782327 142.64653425],[172.38471475 113.45296017  70.64930032],
80,[196.85703113 192.26423012 172.74170227],[188.46593263  38.3895127   66.47389077],[78.85705261 99.03859922 62.63243229],[133.87044338 112.50654624  68.48864338],[182.68895729 150.07691861 104.99547025],
81,[171.06751934 133.39297485 107.8642612 ],[150.53666092  97.17663712  72.7799524 ],[201.83996923 194.23349231 184.30152308],[68.38844484 54.73366263 45.12348451],[112.28460192  83.10971129  61.38912219],
82,[73.40463973 55.50159362 35.83216032],[ 83.25783789 149.5423089  149.25238545],[148.72303452  99.59455896  57.95020374],[179.49629578 138.05406067  94.73525301],[196.49962901 186.47412051 162.92146604],
83,[195.19192607 167.05150778 139.04968385],[39.26057906 43.51714922 68.58324053],[176.99567476 114.84733346  83.18780654],[110.72478413  87.29148417  60.67041046],[220.56466438 209.07931634 189.38627714],
84,[196.30630344 190.47111366 170.43366643],[152.93882517 108.51562606  46.76354746],[87.63434675 64.85962202 36.58138044],[169.51834169 139.27276848 103.76530489],[195.52366893  40.12636552  35.52957386],
85,[174.78554448 154.29441346 136.33452958],[155.08911383 109.03123038  94.58626282],[ 94.59052278 101.07044794  69.96740233],[193.85403183 191.61517373 183.18984445],[61.52432305 60.94977491 45.05963179],
86,[185.66533577 182.54151274 158.95831934],[ 79.05748851 111.15838671  81.18608274],[65.62111348 80.52541035 50.78413037],[162.63636364  67.3483566  158.11234473],[154.61576581 114.57432305 106.45929953],
87,[214.30613433 192.14142707 174.83107322],[98.6712186  86.5758418  62.50072154],[233.15059803 229.31618318 217.49415185],[147.97939815 139.20010905  84.76807451],[184.14165958 157.83124772 132.00939538],
88,[195.59325034 155.6840148  119.01907167],[ 80.71366239 142.40019089 176.65612217],[135.17282722 105.28445782  71.02946418],[52.81390547 47.60627943 33.68664883],[205.63789896 198.34692579 176.04706775],
89,[200.38911863 185.36926928 150.07528444],[117.574741    93.32052864  56.38469859],[71.04913707 62.69594797 39.2122061 ],[183.91278126 128.21870961  78.09172549],[138.24407629 130.61629744 103.97715276],
90,[180.13677885 137.59399038  99.53416466],[195.67898099  72.80686791 103.8925571 ],[133.20527453 100.59474993  68.31064281],[61.76792292 58.80051006 39.00485771],[184.31683074 183.93973059 162.89161414],
91,[201.71246181 205.32371221 203.97560308],[124.11076609  97.17294785  72.45097207],[60.30879205 53.59601158 44.77440357],[177.16438181 153.55018694 134.97839772],[ 78.40414912 115.10554776 106.98804139],
92,[42.02083292 39.45244355 36.39134972],[217.96789337 212.05225289 199.85366832],[186.46364451 177.03301319 163.34006915],[111.11535599  88.2967998   74.77960804],[176.59110293 125.50278169 104.50706786],
93,[ 88.60252942 139.69099148 179.35662113],[223.23792584  72.18562712  36.87768967],[230.73585057 232.52639093 227.53456971],[176.05015768 135.94165902 104.68542174],[101.8125932   79.88402058  60.39972857],
94,[219.66161673  73.27077445 138.04104014],[222.79123879 227.07819886 228.24559902],[128.69128911 111.38822405  76.24094819],[75.11216863 64.20338733 47.99064801],[172.99866099 162.32221546 126.12006492],
95,[31.27266326 16.90424221 15.37282169],[183.03865105  82.10796014  42.26442571],[215.55701054 203.97732354 189.9153625 ],[149.51827917  58.57274742  23.28988183],[ 17. 188. 135.],
96,[194.52493821 152.10623829 113.2175853 ],[71.39306134 64.31118976 52.22080044],[235.64835982 235.97904179 233.24003948],[149.41121924 128.34799241  80.21624434],[202.06833093 197.27279031 186.10108284],
97,[123.04576262  81.69684975  67.19326212],[ 99.53455915 110.31391227 115.10179442],[189.5843286  185.28709997 170.83903002],[41.05064236 37.52064616 31.5112815 ],[159.17536012 133.16659064 107.90905346],
98,[135.29661285 101.93907738  77.82042649],[168.15968524 122.60790468  99.44179335],[84.92670205 73.43727066 62.32736922],[48.48352765 43.9804792  36.19449495],[189.69764687 185.05558052 177.64776534],
99,[180.4755744  127.14513362  88.79177596],[87.3338562  70.54516105 44.05439025],[133.35444201 100.68045102  63.1781989 ],[195.88567547 189.0629303  173.62879643],[166.79747749 161.52713606 149.17937829],
100,[199.74169373 189.19964572 171.72168601],[129.84060681  86.53623923  62.11858364],[59.67886694 50.11886628 44.64942179],[168.87100871 129.89379056  99.11313528],[145.17418746 140.64941236 139.44704005],
101,[89.8915899  85.12861813 61.83488856],[161.81490505 128.4094221   92.45368642],[137.28410996  96.36974944  69.21966791],[184.87702511 176.51646343 153.25448782],[51.20806761 49.45682864 35.99924971],
102,[113.35807672 100.02896868  76.05365676],[199.56897332 193.23284762 180.50724638],[49.38145243 42.37654352 33.43380567],[169.13963332 144.65721315 140.10759544],[170.697045   180.8282696  111.94589433],
103,[228.86335146 223.32741881 206.07867085],[198.18517943 181.69069988 156.98894358],[64.78714467 56.08631435 45.48072678],[168.97279536 122.51965924  90.76764651],[ 85.59739601 148.54345621 190.62259046],
104,[191.16065198 187.40924708 176.74538578],[48.72871083 48.00376328 42.11259866],[83.51926933 87.66721604 63.64768576],[169.05917346 144.76609404 120.9145185 ],[149.26281579  92.14947727  63.12063779],
105,[146.01383837 100.18424798  60.40400127],[155.29895716 129.76273145 107.59450914],[95.08499122 76.9513082  53.05048901],[51.63129219 47.23309643 37.50961453],[179.20080097 178.471384   167.79384372],
106,[95.59003326 78.76036243 51.58362198],[193.7162674  188.09340971 168.0335669 ],[49.92074419 42.38452692 34.97366017],[152.04347604 117.2161782   88.56580226],[54.7503779  72.64490862 99.18963859],
107,[38.18347442 36.04948206 39.81567794],[156.07750953 130.84879288 107.55519845],[142.38154265  81.50589331  69.84007452],[89.0288968  60.57450178 54.33708185],[202.6200089  197.72268566 186.73114367],
108,[ 36.21725201  53.21356465 106.55074654],[188.08414859 185.12657312 165.84428775],[53.12026986 49.38083686 37.74555983],[108.79590048  94.70534915  66.74914205],[144.63019039 130.27244503 102.79872127],
109,[186.63725015 182.98704949 168.56228068],[101.36039101  83.99059629  63.66531769],[132.87089098 108.52565965  85.11255712],[173.17508411 122.96320997 101.34933703],[57.8196525  52.14264241 41.23405177],
110,[ 38.77443609  80.42503317 125.94480318],[46.36098709 43.34062894 35.28947879],[105.8792891   80.07651985  53.78449554],[193.02106701 190.41049068 176.4642493 ],[155.9166025  118.49128743  85.1609596 ],
111,[216.06857976 214.19436582 195.76037765],[130.75119117  97.60263413  58.85541352],[214.9335734   74.19295893 123.22521453],[189.72101405 146.14570294 104.85787692],[61.23179436 51.12791371 25.26738578],
112,[107.69768439  89.24665881  67.73345483],[61.7362081  56.28085588 46.9047931 ],[ 63.4241511   78.49568013 116.71508941],[186.84629665 184.36408254 175.8734396 ],[155.42680165 133.35398628 112.09670974],
113,[45.03415867 45.64133394 40.78931164],[152.57762341  94.60077081  59.84302232],[187.47410035 180.74710914 158.38701778],[99.13817942 84.29916331 63.35540388],[161.67400717 132.00416686  96.82252433],
114,[ 83.04350014  87.18938112 106.7003362 ],[191.19005505 179.76564397 152.55308427],[49.07627738 44.7866323  38.38946745],[174.62011593  66.96479176  31.45480893],[152.94945333 124.94261304  97.53274545],
115,[  8.05972961 150.22007979 175.32746011],[223.01106249 216.09597325 200.71598899],[164.21887682  80.14244736  42.58232582],[73.59304751 70.87675848 48.97604784],[188.91550058 143.20900034  98.26374118],
116,[97.82741405 79.08865691 58.39384999],[44.34229717 40.74665043 36.2347628 ],[181.96926047 174.08726859 147.41761542],[159.64363054 128.97674259  93.58521232],[166.97608851  63.05654125  28.43606608],
117,[165.52295552 141.42398972 113.45142874],[35.42655279 35.95875153 45.46898572],[135.06926672  99.90636733  69.43669706],[195.03314605 189.9723344  168.01186385],[87.89779914 68.42605616 47.64809006],
118,[188.61197895 184.47043428 166.96507729],[42.50831735 39.07301195 31.51984361],[162.97685851 131.00316714 112.58073291],[84.22163981 71.99972618 50.44509858],[123.66168469 105.44586138  85.02683813],
119,[85.6203637  79.35494939 65.49612283],[230.75661388 219.21301213 201.14987595],[216.7933874  153.31529897 128.95471846],[153.56420505 116.07243683  69.18251062],[234.09599185  54.91317227  11.84670925],
120,[66.79502372 53.09904003 53.03601897],[175.3838232  170.74904739 167.17346708],[42.70369181 37.13570012 35.26798225],[152.31056272 100.11867337  89.12162842],[102.83429449  77.1863018   56.86747122],
121,[86.00619603 70.94223972 34.1870729 ],[40.34101947 37.49463331 25.46280047],[181.04099524 167.55913652 142.1126989 ],[140.67532559 124.73145527  79.61237731],[112.01085726  95.94465508  54.82635777],
122,[42.24927856 42.63359874 30.02449121],[166.55359417 125.77830764 105.7994012 ],[118.08433536  85.16094548  62.41321034],[192.35515722 183.73039329 168.88247573],[ 39.29040404 100.28897672 149.17621871],
123,[133.90745545 138.35020823  68.16884004],[ 83.5185567  106.90173969  65.73421392],[131.79985137  80.9629211   54.9062113 ],[59.81389997 47.08774399 49.77997782],[175.35135629 173.38552432 169.71383366],
124,[144.75741285 111.98108223  76.90615012],[123.37332905  84.65773891  55.40269598],[ 96.72465194 110.91273204 123.99006255],[59.95653553 56.22765056 62.54605785],[177.90552607 175.27212818 157.53995523],
125,[203.65240761 194.98045748 175.37376357],[116.28107745  92.24653     58.28845978],[55.91291236 50.70501691 38.27600597],[198.3929471   69.73467674  93.32857543],[167.85663712 143.46865349  97.64588616],
126,[123.16624015 102.91480246  74.87765254],[149.80246418 126.59314316  99.67676443],[59.42886069 48.06852987 55.45176102],[98.26402496 80.60614054 56.52191541],[172.83648811 173.66423749 167.73222285],
127,[115.05143816  86.01375717  64.01789408],[51.09050117 48.75080579 36.12574522],[154.75476916 125.04609015 110.34417624],[ 33.2414515   57.65736218 119.91974878],[186.78495329 182.18307067 169.93082793],
128,[163.93761108 128.87500766  99.36697922],[101.78784414 106.44861026  56.28401794],[53.54814541 52.40999807 48.45841622],[200.98267401 193.35527959 174.94775817],[ 63.05856183  78.85932049 113.70325708],
129,[85.19425513 67.15345805 41.19145689],[ 49.67677208 110.62988004 174.74678299],[176.24929294  71.30139367  21.2859236 ],[154.43567995 118.18967073  76.63396387],[177.46521568 173.77923971 165.55558401],
130,[129.58600079  96.74787652  70.60110106],[160.37609829  68.82799702 148.91660462],[63.5793288  54.75007814 44.91356071],[168.21591167 133.46744514 106.91439866],[198.24063354 195.17781366 186.66914286],
131,[95.80481386 74.30050516 55.19713885],[179.53434956 175.1944946  165.81858813],[33.75465008 34.55754824 33.71713176],[149.87036895 119.74628751  91.92079378],[ 37.32128211 100.83628319  94.67677531],
132,[149.19069065 132.04178715 129.3572507 ],[59.22240968 51.60453391 52.3894351 ],[174.39308469 171.88989902 178.11614495],[142.6184524  103.89380888  90.69905795],[101.45587568  81.13984351  68.07751938],
133,[108.77501242  76.29229439  56.8764233 ],[181.30220545 173.29583089 158.78090196],[51.85774098 43.87875332 37.94174348],[155.85722696 109.53026188  83.81151604],[180.79169565  49.63798859  39.22499652],
134,[87.86373394 70.44879566 63.93192221],[50.98470764 43.03246788 36.00507519],[183.75746049 176.50103596 172.38225562],[117.13399529 101.91172075 116.80505681],[164.29208354 102.3755221   84.28343856],
135,[150.8324514  121.8225432  100.99300756],[88.39397844 66.26405371 55.00316449],[43.59230674 38.42200025 33.16471026],[161.93156248  84.04726716  45.10205712],[176.17588953 170.78728139 167.67226069],
136,[183.07399167 146.59523039 114.51767871],[209.74680844 208.58308386 205.71435945],[87.99669876 90.257347   67.82366046],[100.11444099 148.55231992 152.20029529],[230.53610535  33.38080584 112.46618478],
137,[211.07029635 210.93866299 205.14363657],[48.275939   57.3998588  64.46544761],[73.24242529 81.41134874 86.59704754],[177.52521556 153.40189959 110.46908119],[134.92736861 112.21679461  70.54250575],
138,[215.44087739 200.2975849  185.88023923],[55.46587565 46.27571454 37.16721009],[111.43511485  82.7911179   64.8782083 ],[181.09529067 120.13652865  81.30681723],[178.07012354  52.41143205 129.15329737],
139,[ 32.03668181 128.73750631 185.27208481],[217.08379839 215.23237083 209.53977883],[203.51536489 155.41128493 135.14634735],[177.13957401 121.44122887  72.75774971],[96.35938966 84.54164914 62.09473803],
